Feature,Welch Test Statistic,Welch p-Value,Levene Center Strategy,Levene Test Statistic,Levene p-Value
audspec_lengthL1norm_sma_range,3.5639598042726703,0.00036956056099435314,median,17.0286384202165,3.756817524676703e-05
audspec_lengthL1norm_sma_maxPos,3.847578435419738,0.00012118751908052165,median,9.896994470346732,0.0016676146638017588
audspec_lengthL1norm_sma_minPos,-2.126502856124351,0.03352342651877746,median,5.0910341695128585,0.02410349596852133
audspec_lengthL1norm_sma_quartile1,6.051164460121763,1.5726815949572205e-09,median,0.7276354651028765,0.3937016610900982
audspec_lengthL1norm_sma_quartile2,6.042366840458826,1.6572668877611253e-09,median,5.837143769159772,0.015735691986120636
audspec_lengthL1norm_sma_quartile3,3.9432628253833157,8.175453376163482e-05,median,19.015164076517667,1.329399973808158e-05
audspec_lengthL1norm_sma_iqr1-2,1.1480603830390934,0.2510121553695427,median,14.703800612335636,0.00012772435936138002
audspec_lengthL1norm_sma_iqr2-3,-1.4877289824548345,0.13690105347349185,median,10.691964941197071,0.0010851096052168488
audspec_lengthL1norm_sma_iqr1-3,-0.46625191963095114,0.6410605305820665,median,12.678368917387148,0.0003742050833375535
audspec_lengthL1norm_sma_percentile1.0,2.178515777495985,0.029427940890634965,median,4.3501285842287825,0.037069235670500175
audspec_lengthL1norm_sma_percentile99.0,4.078927934555888,4.612319236021818e-05,median,12.034991412986496,0.0005276093093945847
audspec_lengthL1norm_sma_pctlrange0-1,3.174056154528132,0.0015146342183019596,median,19.715996821145797,9.226535021374691e-06
audspec_lengthL1norm_sma_stddev,0.4237803357601021,0.6717488307652928,median,26.15306485709793,3.301348842528319e-07
audspec_lengthL1norm_sma_skewness,-0.04478440008781007,0.9642814114294498,median,0.0024661238787162154,0.9603957399018821
audspec_lengthL1norm_sma_kurtosis,1.9890076085161787,0.04676890226844777,median,2.075767714720563,0.14973271575234479
audspec_lengthL1norm_sma_meanSegLen,4.675037971039607,3.0400228665189994e-06,median,1.3406050760543438,0.2469962639399779
audspec_lengthL1norm_sma_maxSegLen,6.405818668680671,1.6968367668278908e-10,median,17.43040954135395,3.0434996243685817e-05
audspec_lengthL1norm_sma_minSegLen,-2.7951585671937638,0.00521217079182179,median,4.998828581476987,0.02541930678979654
audspec_lengthL1norm_sma_segLenStddev,5.131234083701792,3.0400630931744385e-07,median,6.537580234963372,0.010598406335341669
audspec_lengthL1norm_sma_upleveltime25,3.516766194032746,0.00044170043744737217,median,1.8954164980255086,0.16866913421571691
audspec_lengthL1norm_sma_upleveltime50,-0.14081495826870893,0.8880232485917421,median,0.1747032657562387,0.6759876370390058
audspec_lengthL1norm_sma_upleveltime75,-2.487113160991921,0.01291898310815697,median,0.11146864504190439,0.7384957218306472
audspec_lengthL1norm_sma_upleveltime90,-3.701257933686738,0.00021742904770724497,median,1.4795344026637094,0.22391899304715962
audspec_lengthL1norm_sma_risetime,5.2713805170897,1.4253406871431234e-07,median,11.890048232554545,0.0005701568576717174
audspec_lengthL1norm_sma_leftctime,-1.6448219577894163,0.1000849676472922,median,8.457586441877043,0.0036552061786465284
audspec_lengthL1norm_sma_lpgain,-1.366271126914645,0.17193053455068205,median,1.0010956881585906,0.31710591473129873
audspec_lengthL1norm_sma_lpc0,-5.452212691089135,5.27657984575657e-08,median,1.259538199699361,0.2618057314052321
audspec_lengthL1norm_sma_lpc1,4.831383427337603,1.4072623314242764e-06,median,10.396475426611465,0.0012726883111202068
audspec_lengthL1norm_sma_lpc2,4.627202896521295,3.827534756321364e-06,median,7.274839038361312,0.007021971573115869
audspec_lengthL1norm_sma_lpc3,-4.556960442602975,5.353989840831323e-06,median,19.5883758902442,9.860588721862366e-06
audspec_lengthL1norm_sma_lpc4,1.2602718892181024,0.20764594558517632,median,4.440335812559246,0.03516129463376527
audspecRasta_lengthL1norm_sma_range,2.409194197049944,0.01603260260013717,median,0.03298941567881989,0.8558823751593333
audspecRasta_lengthL1norm_sma_maxPos,1.4622276143723143,0.1437579082674399,median,0.8859461612460711,0.3466349405442587
audspecRasta_lengthL1norm_sma_minPos,0.5372933792293967,0.5910952495149305,median,6.8866223969396865,0.008717257227316732
audspecRasta_lengthL1norm_sma_quartile1,7.824725840636132,6.462813492971018e-15,median,1.7551565823600228,0.18530529714358537
audspecRasta_lengthL1norm_sma_quartile2,6.9750624646667045,3.560676965769717e-12,median,18.63656110002462,1.619784497611068e-05
audspecRasta_lengthL1norm_sma_quartile3,4.08772490108401,4.441586022200387e-05,median,6.67718281239316,0.009800538075912813
audspecRasta_lengthL1norm_sma_iqr1-2,-0.19140369541297395,0.8482190254945849,median,7.340086597390771,0.006772027361639471
audspecRasta_lengthL1norm_sma_iqr2-3,0.016012945492243028,0.9872248610149884,median,2.310421914862613,0.12858802279739162
audspecRasta_lengthL1norm_sma_iqr1-3,-0.06996745632671363,0.9442230519804089,median,3.9300492507623552,0.047498717153521136
audspecRasta_lengthL1norm_sma_percentile1.0,0.7132356433637866,0.4757416946624483,median,1.0917170027374217,0.2961540851842767
audspecRasta_lengthL1norm_sma_percentile99.0,2.097875597121274,0.035978584769594785,median,1.2218219502517225,0.2690697202181548
audspecRasta_lengthL1norm_sma_pctlrange0-1,1.9204053740657672,0.05487757923167575,median,0.648116135462865,0.42083475831273065
audspecRasta_lengthL1norm_sma_stddev,0.25509614264898944,0.7986619471223946,median,4.4937853420528,0.03407954962949032
audspecRasta_lengthL1norm_sma_skewness,2.0287283432543615,0.04255256896468481,median,0.05030352620287181,0.8225473841726688
audspecRasta_lengthL1norm_sma_kurtosis,3.4433550106754116,0.0005805428351568934,median,3.929094176259931,0.04752567325960817
audspecRasta_lengthL1norm_sma_meanSegLen,3.714562552088322,0.0002064486002522778,median,0.3708142160823608,0.5425952881374294
audspecRasta_lengthL1norm_sma_maxSegLen,5.9832968079197535,2.411509601055573e-09,median,14.297638395715087,0.0001583332810456427
audspecRasta_lengthL1norm_sma_minSegLen,-2.4177614128078493,0.015660626526481862,median,5.972757221693871,0.014571362099046189
audspecRasta_lengthL1norm_sma_segLenStddev,4.614006208027663,4.089774016923948e-06,median,5.565366196298821,0.01836687978808902
audspecRasta_lengthL1norm_sma_upleveltime25,0.45901066445130906,0.6462515183982127,median,0.4233928049539043,0.5152862263805857
audspecRasta_lengthL1norm_sma_upleveltime50,-2.952666565059456,0.003168837380292711,median,0.8564248233239415,0.3547968190919675
audspecRasta_lengthL1norm_sma_upleveltime75,-4.4815894127313465,7.61745629780948e-06,median,3.6355069720918647,0.056630795135645576
